WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
06-February-2016,Middle East,Bahrain,Capital,Battles,Armed clash,1,0,69821,Political violence,285,26.1927,50.5508
28-February-2026,Middle East,Bahrain,Capital,Explosions/Remote violence,Air/drone strike,9,0,126395,Political violence,285,26.1927,50.5508
07-March-2026,Middle East,Bahrain,Capital,Explosions/Remote violence,Air/drone strike,7,1,57503,Political violence,285,26.1927,50.5508
14-March-2026,Middle East,Bahrain,Capital,Explosions/Remote violence,Air/drone strike,1,0,22606,Political violence,285,26.1927,50.5508
21-March-2026,Middle East,Bahrain,Capital,Explosions/Remote violence,Air/drone strike,1,0,22606,Political violence,285,26.1927,50.5508
04-April-2026,Middle East,Bahrain,Capital,Explosions/Remote violence,Air/drone strike,4,0,54655,Political violence,285,26.1927,50.5508
06-June-2026,Middle East,Bahrain,Capital,Explosions/Remote violence,Air/drone strike,2,0,32312,Political violence,285,26.1927,50.5508
27-June-2026,Middle East,Bahrain,Capital,Explosions/Remote violence,Air/drone strike,1,0,22606,Political violence,285,26.1927,50.5508
04-July-2026,Middle East,Bahrain,Capital,Explosions/Remote violence,Air/drone strike,2,0,32312,Political violence,285,26.1927,50.5508
25-June-2016,Middle East,Bahrain,Capital,Explosions/Remote violence,Remote explosive/landmine/IED,1,1,5568,Political violence,285,26.1927,50.5508
11-February-2017,Middle East,Bahrain,Capital,Explosions/Remote violence,Remote explosive/landmine/IED,2,0,4084,Political violence,285,26.1927,50.5508
18-February-2017,Middle East,Bahrain,Capital,Explosions/Remote violence,Remote explosive/landmine/IED,1,0,4084,Political violence,285,26.1927,50.5508
12-August-2017,Middle East,Bahrain,Capital,Explosions/Remote violence,Remote explosive/landmine/IED,1,0,4084,Political violence,285,26.1927,50.5508
30-September-2017,Middle East,Bahrain,Capital,Explosions/Remote violence,Remote explosive/landmine/IED,1,0,12033,Political violence,285,26.1927,50.5508
21-October-2017,Middle East,Bahrain,Capital,Explosions/Remote violence,Remote explosive/landmine/IED,1,1,7080,Political violence,285,26.1927,50.5508
01-July-2017,Middle East,Bahrain,Capital,Explosions/Remote violence,Shelling/artillery/missile attack,1,0,20331,Political violence,285,26.1927,50.5508
28-February-2026,Middle East,Bahrain,Capital,Explosions/Remote violence,Shelling/artillery/missile attack,2,0,56502,Political violence,285,26.1927,50.5508
28-March-2026,Middle East,Bahrain,Capital,Explosions/Remote violence,Shelling/artillery/missile attack,1,0,9706,Political violence,285,26.1927,50.5508
04-April-2026,Middle East,Bahrain,Capital,Explosions/Remote violence,Shelling/artillery/missile attack,1,0,7602,Political violence,285,26.1927,50.5508
05-March-2016,Middle East,Bahrain,Capital,Protests,Excessive force against protesters,1,0,4853,Political violence; Demonstrations,285,26.1927,50.5508
26-March-2016,Middle East,Bahrain,Capital,Protests,Excessive force against protesters,2,0,38447,Political violence; Demonstrations,285,26.1927,50.5508
07-January-2017,Middle East,Bahrain,Capital,Protests,Excessive force against protesters,1,0,4744,Political violence; Demonstrations,285,26.1927,50.5508
25-March-2017,Middle East,Bahrain,Capital,Protests,Excessive force against protesters,1,0,7574,Political violence; Demonstrations,285,26.1927,50.5508
12-May-2018,Middle East,Bahrain,Capital,Protests,Excessive force against protesters,1,0,4908,Political violence; Demonstrations,285,26.1927,50.5508
27-July-2019,Middle East,Bahrain,Capital,Protests,Excessive force against protesters,1,1,26841,Political violence; Demonstrations,285,26.1927,50.5508
19-November-2022,Middle East,Bahrain,Capital,Protests,Excessive force against protesters,1,0,35723,Political violence; Demonstrations,285,26.1927,50.5508
